No,Style Category,Type,Keywords,Primary Colors,Secondary Colors,Effects & Animation,Best For,Do Not Use For,Light Mode [v],Dark Mode [v],Performance,Accessibility,Mobile-Friendly,Conversion-Focused,Framework Compatibility,Era/Origin,Complexity,AI Prompt Keywords,CSS/Technical Keywords,Implementation Checklist,Design System Variables
25,AI-Native UI,General,"AI interface, chatbot, conversational, streaming text, context-aware, minimal chrome, intelligent, predictive","Neutral backgrounds, AI Purple (#6366F1), accent colors for actions, subtle gradients","Success green, error red, warning amber, neutral greys","Typing indicators, streaming text (character by character), smooth scroll to latest, context transitions, AI avatar","AI products, chatbots, copilots, intelligent assistants, AI-powered tools","Complex data entry, traditional forms, manual workflows",[v] Full,[v] Full,>>> Good,[v] WCAG AA,[v] High,[v] High,"Tailwind 10/10, Custom 10/10",2020s AI-Era,Medium,"Design an AI-native interface with chat-like conversational UI, streaming text display, minimal chrome, context-aware actions, typing indicators, smooth auto-scroll to latest message.","streaming text animation, typing indicator (3 dots), auto-scroll, message bubbles, AI avatar, minimal UI chrome","[ ] Streaming text working, [ ] Typing indicator visible, [ ] Auto-scroll smooth, [ ] Message bubbles styled, [ ] AI avatar present","--streaming-speed: 30ms, --typing-dot-delay: 0.3s, --message-max-width: 700px, --ai-primary: #6366F1"
26,Gradient Mesh,General,"Mesh gradients, flowing colors, organic shapes, abstract, artistic, vibrant, fluid, smooth","Vibrant mesh gradients (4-8 colors), organic blob shapes, fluid color blends","Complementary and triadic color combinations, smooth transitions","CSS mesh gradients (radial-gradient layers), SVG mesh, animated blob shapes, smooth color transitions (8-12s loops)","Creative agencies, branding, hero sections, premium products, artistic projects","Data-heavy dashboards, critical accessibility, content-heavy, performance-limited",[v] Full,[v] Full,[!] Good,[!] Text contrast,[v] Good,[v] High,"Tailwind 9/10, CSS-in-JS 10/10",2020s Modern,Medium,"Design with mesh gradients using multiple radial-gradient layers, organic blob shapes, flowing color transitions. Create artistic, abstract backgrounds with smooth 8-12s animation loops.","background: radial-gradient(circle at 20% 50%, color1 0%, transparent 50%), radial-gradient(circle at 80% 50%, color2 0%, transparent 50%), radial-gradient(circle at 50% 80%, color3 0%, transparent 50%), animation: mesh 12s ease infinite","[ ] Mesh gradients layered (3-4 radial-gradients), [ ] Organic shapes present, [ ] Color transitions smooth (8-12s), [ ] Text contrast verified, [ ] Performance optimized","--mesh-colors: 3-4 vibrant colors, --animation-duration: 8-12s, --shape: organic blob, --transition: smooth"
27,Pixel Art,General,"Pixel, 8-bit, retro, gaming, nostalgic, low-res, chunky, blocky, grid-based","Limited palette (16-32 colors), NES/SNES/GBA inspired, high contrast, pure colors","Secondary colors from classic palettes, limited shading, dithering effects","No anti-aliasing, pixel-perfect rendering, 1px borders, chunky animations (step-end timing), retro transitions","Indie games, retro apps, nostalgic brands, pixel art portfolios, gaming communities","Professional enterprise, luxury brands, formal business, critical accessibility",[v] Full,[v] Full,>>> Excellent,[v] WCAG AAA,[v] High,~ Medium,"Custom CSS, Tailwind 7/10",1980s-1990s Retro,Low,"Design a pixel art interface with limited color palette (16-32 colors), 1px borders, chunky step-end animations, retro gaming aesthetic, pixel-perfect rendering, dithering effects for shading.","image-rendering: pixelated, image-rendering: crisp-edges, border: 1px solid black, animation-timing-function: step-end, font-family: 'Press Start 2P' or 'VT323'","[ ] Limited palette (16-32 colors), [ ] 1px borders consistent, [ ] Step-end animations, [ ] Pixel-perfect rendering, [ ] Retro font used, [ ] Dithering effects for shading","--pixel-size: 1px, --animation-timing: step-end, --color-palette: 16-32 colors, --image-rendering: pixelated, --font-family: pixel font"
28,Y2K Aesthetic,General,"Y2K, 2000s, chrome, metallic, glossy, bubble, retro-futuristic, nostalgic, shiny","Chrome/silver #C0C0C0, Hot pink #FF69B4, Lime green #32CD32, Sky blue #87CEEB, purple #9370DB","Gradient chrome effects, glossy highlights, bubble shapes, star/sparkle decorations","Glossy reflections (linear-gradient highlights), chrome/metallic effects, bubble animations (bounce), sparkle decorations, glossy borders","Fashion brands, music artists, Gen Z products, nostalgic brands, creative projects","Corporate, formal business, data-heavy apps, critical accessibility",[v] Full,[v] Full,[!] Good,[!] Contrast issues,[v] High,~ Medium,"Tailwind 9/10, CSS-in-JS 9/10",2000s Retro,Medium,"Design a Y2K aesthetic interface with chrome/metallic effects, glossy reflections, bubble shapes, hot pink and lime accents, star decorations, glossy borders, retro-futuristic vibe.","background: linear-gradient(135deg, #C0C0C0, #E8E8E8, #C0C0C0), border: 2px solid #FF69B4, border-radius: 20px, box-shadow: inset 0 1px 0 rgba(255,255,255,0.5), animation: bounce 2s ease-in-out infinite","[ ] Chrome/metallic effects, [ ] Glossy reflections, [ ] Bubble shapes (rounded), [ ] Hot pink + lime accents, [ ] Star decorations, [ ] Bounce animations active","--chrome-gradient: linear-gradient(135deg, #C0C0C0, #E8E8E8, #C0C0C0), --accent-pink: #FF69B4, --accent-lime: #32CD32, --border-radius: 20px, --animation: bounce"
29,Vaporwave,General,"Vaporwave, aesthetic, retro, 80s/90s, japanese, glitch, nostalgic, dreamy, surreal","Pink #FF71CE, Cyan #01CDFE, Purple #B967FF, Yellow #FFFB96, retro pastels","VHS tracking effects, glitch artifacts, Japanese text, Greek/Roman statues, retro grids","VHS tracking lines (::before), glitch effects (RGB split), retro grid background, static noise overlay, CRT scanlines, dreamy blur","Music platforms, creative portfolios, art projects, nostalgic brands, vaporwave aesthetic","Corporate, formal business, data-heavy apps, critical accessibility",[v] Full,[v] Dark focused,[!] Moderate,[!] Contrast/strain issues,~ Medium,~ Medium,"Tailwind 8/10, CSS-in-JS 9/10",2010s Retro,Medium,"Design a vaporwave aesthetic interface with pink/cyan/purple gradient, VHS tracking effects, glitch RGB split, retro grid background, Japanese text elements, dreamy blur, CRT scanlines.","background: linear-gradient(180deg, #FF71CE 0%, #01CDFE 50%, #B967FF 100%), animation: vhs-tracking 0.1s linear infinite, filter: hue-rotate(0deg) saturate(2), text-shadow: 2px 2px #FF71CE, -2px -2px #01CDFE","[ ] Pink/cyan/purple gradient, [ ] VHS tracking effects, [ ] Glitch RGB split, [ ] Retro grid background, [ ] Japanese text elements, [ ] Dreamy blur/blur effects","--gradient-vapor: linear-gradient(180deg, #FF71CE, #01CDFE, #B967FF), --vhs-effect: tracking lines, --glitch-effect: RGB split, --grid-color: #B967FF"
30,Crystal/Crystal UI,General,"Crystal, glass, facet, prismatic, holographic, rainbow, light, refraction, premium, luxury","Translucent whites, holographic rainbow gradients, prismatic light effects, crystal clear","Rainbow spectrum accents, prismatic light effects, holographic overlays","Faceted edges (clip-path polygons), holographic gradients (conic-gradient with rainbow), light refraction effects, crystal-clear transparency, prismatic animations (hue-rotate)","Premium SaaS, luxury brands, creative agencies, high-end e-commerce, artistic projects","Performance-limited, critical accessibility, data-heavy, budget projects, dark backgrounds",[v] Full,[v] Full,[!] Poor,[!] Text contrast issues,~ Medium,[v] High,"Framer Motion 10/10, GSAP 10/10",2020s Modern,High,"Design a crystal/crystal UI interface with faceted edges (clip-path polygons), holographic rainbow gradients (conic-gradient), prismatic light effects, crystal-clear transparency, prismatic animations with hue-rotate.","clip-path: polygon(50% 0%, 100% 25%, 100% 75%, 50% 100%, 0% 75%, 0% 25%), background: conic-gradient(from 0deg, #ff0000, #ff8800, #ffff00, #00ff00, #00ffff, #0000ff, #ff00ff, #ff0000), animation: prismatic 8s linear infinite, filter: hue-rotate(0deg)","[ ] Faceted edges (clip-path polygons), [ ] Holographic rainbow gradients (conic-gradient), [ ] Prismatic light effects, [ ] Crystal-clear transparency, [ ] Prismatic animation (hue-rotate), [ ] Premium feel achieved","--clip-faceted: polygon(50% 0%, 100% 25%, 100% 75%, 50% 100%, 0% 75%, 0% 25%), --gradient-holographic: conic-gradient(from 0deg, rainbow), --animation-prismatic: hue-rotate 8s linear infinite, --transparency: 0.3-0.7"
32,Neo-Brutalism,General,"Modern brutalism, colorful brutalist, asymmetric layout, bold typography, rough edges, high contrast, playful, rebellious","Off-white #FAF0E6, Black #000000, accent color splashes: Red #FF4500, Blue #1E90FF, Yellow #FFD700","Minimal secondary, black and white dominant, one bright accent per section","Sharp corners (0px), instant transitions (0s), bold borders (3-5px solid), staggered asymmetric grid, color block hover shifts","Creative portfolios, design agencies, art platforms, tech startups, rebellious brands, editorial","Conservative industries, healthcare, elderly-focused, data-heavy dashboards, formal enterprise",[v] Full,[v] Full,>>> Excellent,[!] Ensure 4.5:1,~ Medium,~ Medium,"Tailwind 10/10, CSS Grid 9/10",2020s Modern,Low,"Design a neo-brutalist interface with colorful off-white backgrounds, asymmetric grid layouts, bold thick borders (3-5px), heavy typography, one bright accent color per section, rough but intentional edges.","border: 3-5px solid #000, border-radius: 0px, transition: none or 0s, font-weight: 800-900, display: grid with asymmetric spans, background: off-white #FAF0E6","[ ] Asymmetric grid layout, [ ] Thick borders 3-5px, [ ] One accent color per section, [ ] Bold typography 800+, [ ] No rounded corners, [ ] Off-white base background","--border-thickness: 3-5px, --border-radius: 0px, --accent-color: single vibrant per section, --font-weight: 800-900, --bg-base: #FAF0E6"
33,Art Deco,General,"Luxury, geometric patterns, gold accents, symmetrical, 1920s glamour, ornate, Art Deco, vintage luxury, opulent","Gold #FFD700, Black #1A1A1A, Rich Cream #FFF8DC, Deep Teal #008080, Burgundy #800020","Champagne #F7E7CE, Silver #C0C0C0, Ivory #FFFFF0, Rose Gold #B76E79","Geometric patterns (chevron, sunburst, fan), metallic gradients, gold foil shimmer (conic-gradient), symmetrical animations, elegant fade-in (400-600ms)","Luxury brands, high-end hospitality, premium fashion, fine dining, jewelry, luxury real estate","Modern startups, tech products, casual apps, youth-focused, budget brands, minimalist",[v] Full,[v] Full,[!] Good,[!] Ensure 4.5:1,~ Medium,~ Medium,"Tailwind 8/10, CSS-in-JS 9/10",1920s Art Deco,Medium,"Design a luxury Art Deco interface with gold (#FFD700) accents, symmetrical geometric patterns (chevron, sunburst, fan), rich dark backgrounds, metallic gradients, elegant typography, 1920s glamour aesthetic.","background: conic-gradient(from 45deg, #FFD700, #B76E79, #FFD700), border: double 3px #FFD700, font-family: serif or display, clip-path: polygon for geometric shapes, box-shadow: 0 4px 15px rgba(255,215,0,0.3)","[ ] Gold/metallic accents applied, [ ] Geometric patterns present, [ ] Symmetrical layout, [ ] Serif/display typography, [ ] Rich dark background, [ ] Elegant transitions 400-600ms","--gold: #FFD700, --bg-dark: #1A1A1A, --pattern: chevron/sunburst, --font-family: serif/display, --metallic-gradient: conic-gradient gold, --animation-elegant: 400-600ms"
34,Biophilic Design,General,"Nature-inspired, organic shapes, green colors, natural textures, living elements, plants, earth tones, wellness, sustainable","Forest Green #228B22, Sage #8FBC8F, Earth Brown #8B4513, Sky Blue #87CEEB, Warm Beige #F5DEB3","Moss #8A9A5B, Terracotta #E2725B, Leaf #3CB371, Wood #DEB887, Sand #F4A460","Organic animations (ease-in-out with bounce), natural light transitions, leaf sway, ambient nature patterns, smooth morphing shapes (300-500ms)","Wellness apps, sustainability brands, healthcare, meditation, education, outdoor/lifestyle, eco-friendly","Heavy tech/industrial, gaming, cyberpunk, dark entertainment, financial dashboards",[v] Full,[v] Full,>>> Good,[v] WCAG AA,[v] High,~ Medium,"Tailwind 9/10, CSS-in-JS 8/10",2020s Modern,Medium,"Design a biophilic interface inspired by nature with organic shapes (curved, blob-like), green earth-tone color palette, natural textures (wood, leaf, stone), smooth organic easing animations, plant motifs.","border-radius: organic blob clip-path, background: natural gradients, animation: plant-sway 3s ease-in-out infinite, color: earth tones, box-shadow: soft natural shadows","[ ] Organic shapes/curves applied, [ ] Earth-tone color palette, [ ] Natural textures visible, [ ] Organic animations 300-500ms, [ ] Plant motifs integrated","--organic-radius: blob clip-path, --color-forest: #228B22, --color-earth: #8B4513, --color-sage: #8FBC8F, --animation-organic: 3s ease-in-out"
35,Skeuomorphism 2.0,General,"Modern skeuomorphism, subtle realism, accessible depth, soft shadows, tactile, realistic but clean, contemporary, improved UX","Soft neutral: Warm White #FFF8F0, Light Grey #F0F0F0, subtle material colors, pastel accents","Accessible contrast accents: Blue #2563EB, Green #16A34A, subtle material reflections","Realistic soft shadows (multi-layer, softer), subtle grain textures, light reflection (linear-gradient highlights), smooth material transitions (200-300ms), press effects","Productivity apps, note-taking apps, creative tools, music production, premium utilities, iOS/macOS apps","Low-performance devices, web-only, simple CRUD apps, text-heavy publications",[v] Full,[v] Full,>>> Good,[v] WCAG AA,[v] High,[v] High,"Tailwind 9/10, CSS-in-JS 9/10",2020s Modern,Medium,"Design a modern skeuomorphic interface with subtle realistic textures, soft multi-layer shadows, light reflection highlights, tactile press effects, material-like depth, improved accessibility over classic skeuomorphism.","box-shadow: inset 0 1px 0 rgba(255,255,255,0.6), 0 4px 6px rgba(0,0,0,0.1), border-radius: 8-12px, background: linear-gradient(180deg, base, base-dark), transition: 200-300ms","[ ] Soft multi-layer shadows, [ ] Light reflection highlights, [ ] Subtle grain/texture, [ ] Press effects (active state), [ ] Accessible 4.5:1 contrast, [ ] Smooth material transitions","--shadow-soft-inset: inset 0 1px 0 rgba(255,255,255,0.6), --shadow-drop: 0 4px 6px rgba(0,0,0,0.1), --texture-grain: subtle noise, --material-transition: 250ms"
36,Grunge,General,"Distressed textures, rough edges, vintage paper, urban aesthetic, gritty, worn, dirty, chaos, alternative, street","Muted Olive #556B2F, Rust #B7410E, Dirty White #F5F0E0, Charcoal #36454F, Faded Black #1A1A1A","Aged Yellow #E8D5A3, Faded Red #8B3A3A, Industrial Grey #808080, Vintage Brown #6B4226","Noise/grain overlay (CSS/SVG), distressed edges (clip-path chaos), rough paper textures, grunge brush strokes, vintage halftone patterns","Music bands, streetwear brands, skate culture, alternative art, underground events, gaming, tattoo culture","Corporate enterprise, healthcare, luxury brands, government, conservative industries, professional services",[v] Partial,[v] Full,>>> Good,[!] Contrast issues possible,~ Medium,~ Low,"Tailwind 7/10, Custom CSS 9/10",1990s-2000s,Medium,"Design a grunge aesthetic interface with distressed textures, noise/grain overlays, rough uneven edges using chaotic clip-paths, vintage paper backgrounds, urban gritty feel, halftone patterns.","filter: contrast(0.9) saturate(0.8), background-image: noise SVG/URL, clip-path: polygon with irregular points, font-family: system-ui or rough type, mix-blend-mode: multiply for textures","[ ] Noise/grain overlay applied, [ ] Distressed edges using clip-path, [ ] Vintage paper/aged textures, [ ] Muted grunge color palette, [ ] Rough typography feel, [ ] Halftone patterns where appropriate","--grain-overlay: noise texture, --clip-distressed: irregular polygon, --color-rust: #B7410E, --color-olive: #556B2F, --blend-mode: multiply, --contrast-reduce: 0.9"
37,Minimal Japan,General,"Japanese minimalism, zen aesthetic, wabi-sabi, natural materials, negative space, calligraphy, tatami, bamboo, tranquility","Washi White #F5F0E8, Ink Black #1C1C1C, Vermillion #E53E30, Indigo #264653, Bamboo #7C9A5D","Shoji Cream #F5E6C8, Stone Grey #A0A0A0, Moss #5F7B4A, Gold leaf #C9A84C","Subtle paper texture overlay, gentle fade transitions (300-400ms ease), organic scroll, zen parallax (slow, minimal 1-2 layers), ink wash gradients","Meditation apps, tea brands, zen gardens, hospitality, wellness, minimalist portfolios, cultural sites","Fast-paced entertainment, gaming, loud/colorful brands, children's apps, social media",[v] Full,[v] Full,>>> Excellent,[v] WCAG AA,[v] High,~ Medium,"Tailwind 8/10, Custom CSS 9/10",Ancient Japanese,Low,"Design a Japanese-inspired minimalist interface with zen aesthetic, wabi-sabi principles (imperfect beauty), natural colors (indigo, vermillion, bamboo), generous negative space, subtle paper textures, calligraphic elements.","background: #F5F0E8 (washi white), color: #1C1C1C (ink black), accent: #E53E30 (vermillion), font-family: serif or Japanese typeface, box-shadow: none, transition: 300-400ms ease","[ ] Generous negative space (ma), [ ] Natural material colors, [ ] Subtle paper texture, [ ] Wabi-sabi minor imperfections, [ ] Calligraphic accent elements, [ ] Gentle slow transitions","--washi-white: #F5F0E8, --ink-black: #1C1C1C, --vermillion: #E53E30, --indigo: #264653, --ma-spacing: generous, --animation-gentle: 350ms ease"
38,Holographic,General,"Iridescent, rainbow shifts, prismatic colors, futuristic, oil slick effect, chromatic, spectral, light refraction, sci-fi","Base translucent white, iridescent spectrum: Pink-Magenta #FF00FF, Cyan #00FFFF, Yellow #FFFF00, shifting hues","Chromatic aberration red/cyan, spectral highlights, rainbow sheen, holographic foil effect","Conic-gradient rainbow animation (hue-rotate 4-6s), iridescent shimmer (background-position shift), chromatic aberration text, prismatic reflections (radial-gradient), tilt-responsive effects","Premium tech, futuristic brands, music/entertainment, creative agencies, product launches, event pages","Corporate, data-heavy, accessibility-critical, traditional conservative, government, financial",[v] Full,[v] Full,[X] Poor,[!] Severe contrast issues,~ Medium,[v] High,"Framer Motion 9/10, GSAP 9/10, Three.js 8/10",2020s Modern,High,"Design a holographic interface with iridescent rainbow effects, conic-gradient color shifts, chromatic aberration text, prismatic light reflections, oil-slick color spectrum, tilted responsive shine.","background: conic-gradient(from 0deg, #FF00FF, #00FFFF, #FFFF00, #FF00FF), animation: holographic-shift 5s linear infinite, filter: hue-rotate(0deg), mix-blend-mode: screen/overlay, text-shadow: chromatic aberration offsets","[ ] Conic-gradient rainbow active, [ ] Hue-rotate animation 4-6s, [ ] Chromatic aberration text effect, [ ] Prismatic highlights, [ ] Tilt-responsive shine, [ ] Performance optimized (GPU)","--holographic-spectrum: conic-gradient(full rainbow), --animation-shift: 5s linear infinite, --chromatic-offset: 1px red/-1px cyan, --blend: screen, --gpu-accelerated: true"
39,Memphis Design,General,"80s Memphis Group, squiggles, bold geometric patterns, primary colors, playful, postmodern, Memphis design, Ettore Sottsass","Primary: Red #FF0000, Blue #0000FF, Yellow #FFFF00, Black #000000, White #FFFFFF","Bright Pink #FF69B4, Aqua #00FFFF, Lime #32CD32, geometric pattern colors","Bouncy animations (cubic-bezier bounce), squiggle SVG paths, geometric shape morphing (300-400ms), pattern rotations (12-16s), random dot/line animations","Creative studios, art galleries, playful brands, children's products, interior design, fashion, retro-themed projects","Corporate enterprise, serious healthcare, conservative finance, government, legal, data analytics",[v] Full,[v] Full,>>> Good,[v] WCAG AA,[v] High,~ Low,"Tailwind 9/10, SVG 10/10",1980s Memphis,Medium,"Design a Memphis-inspired interface with bold geometric patterns (squiggles, triangles, circles, zigzags), primary color palette (red, blue, yellow, black, white), playful bouncy animations, postmodern aesthetic inspired by Ettore Sottsass and Memphis Group.","background: repeating patterns (geometric), SVG squiggles/zigzags, animation: bounce-bounce 2s cubic-bezier(0.68, -0.55, 0.27, 1.55), border: multiple colored borders, color: primary palette","[ ] Bold geometric patterns, [ ] Primary color palette, [ ] Squiggle/zigzag elements, [ ] Bouncy animations, [ ] Playful overall feel, [ ] Pattern rotations 12-16s","--pattern-squiggle: SVG path, --colors-primary: red #FF0000, blue #0000FF, yellow #FFFF00, --bounce-curve: cubic-bezier(0.68, -0.55, 0.27, 1.55), --pattern-rotation: 14s"
40,Space Theme,General,"Cosmic backgrounds, stars, deep space, nebula, galaxy, astronomical, celestial, dark universe, sci-fi","Deep Space Black #0B0D17, Midnight Blue #0A1628, Nebula Purple #2D1B69, Star White #FFFFFF, Galaxy Pink #FF69B4","Stellar Blue #4169E1, Cosmic Gold #FFD700, Aurora Green #00FF7F, Mars Red #DC143C","Parallax starfield (multiple CSS layers), twinkling stars animation (keyframes scale/opacity), nebula gradients, meteor trails (linear-gradient + animation), cosmic dust particles","Space/astronomy apps, sci-fi games, futuristic tech, educational science platforms, virtual observatories, sci-fi media","Professional corporate, healthcare, conservative apps, daily productivity tools, banking",[v] Full,[v] Full,[!] Poor,[!] Contrast challenges,~ Medium,~ Low,"Three.js 9/10, CSS 9/10",Modern (NASA),Medium,"Design a cosmic/space-themed interface with deep space background (#0B0D17), parallax starfield layers, twinkling stars, nebula gradient effects, astronomical elements (planets, galaxies), celestial atmosphere.","background: radial-gradient(ellipse at center, #0A1628 0%, #0B0D17 100%), box-shadow: multiple for stars, animation: twinkle 3s ease infinite alternate, position: relative for parallax layers","[ ] Parallax starfield 3+ layers, [ ] Twinkling stars animation, [ ] Nebula gradients applied, [ ] Deep space palette, [ ] Astronomical motifs present, [ ] Performance optimized (GPU composite)","--space-black: #0B0D17, --midnight-blue: #0A1628, --nebula-purple: #2D1B69, --star-white: #FFFFFF, --parallax-layers: 3+, --star-count: CSS box-shadow stars"
41,Underwater / Aquatic,General,"Ocean themes, coral colors, wave effects, deep blue palette, marine life, water texture, aquatic, sea, ocean depths","Deep Ocean #003366, Coral #FF7F50, Seafoam #98FF98, Sandy Beige #F4D03F, Wave #006994","Aquamarine #7FFFD4, Kelp Green #2E8B57, Shell Pink #FFD1DC, Coral Reef #FF6347, Tide #1E90FF","Wavy SVG animations (undulating paths), bubble particles (CSS keyframes scale/float), caustic light patterns (conic-gradient), organic wave transitions (sine-based cubic-bezier), drifting animations (slow 8-12s)","Oceanography, travel/hospitality, wellness/spa, aquarium sites, environmental orgs, beach products","Industrial, heavy tech, gaming, urban brands, financial services, corporate enterprise",[v] Full,[v] Full,[!] Moderate,[!] Contrast check needed,[v] High,~ Medium,"Tailwind 8/10, SVG 10/10, GSAP 9/10",Modern,Medium,"Design an underwater/aquatic theme with ocean-inspired color palette (deep blues, teals, coral), undulating wave SVG animations, floating bubble particles, caustic light patterns, marine motifs and textures.","animation: wave-undulate 6s ease-in-out infinite, border-radius: fluid organic shapes, background: gradient from deep to light blue, SVG wave paths, bubble animation: translateY + scale, filter: saturate(1.2)","[ ] Wave SVG animations smooth, [ ] Bubble particles floating, [ ] Ocean color palette, [ ] Caustic light effects, [ ] Marine motifs present, [ ] Fluid organic shapes","--ocean-deep: #003366, --ocean-mid: #006994, --coral: #FF7F50, --seafoam: #98FF98, --wave-duration: 6s, --bubble-duration: 4-8s, --caustic-pattern: conic-gradient light"
42,Steampunk,General,"Victorian industrial, brass/copper colors, gear motifs, vintage tech, steam power, clockwork, mechanical, retro-futuristic","Brass #B5A642, Copper #B87333, Rust #8B4513, Dark Leather #5C3317, Iron Grey #434B4D","Teal #008080, Bronze #CD7F32, Deep Red #8B0000, Oil Black #1A1A1A, Gold #FFD700","Gear rotation animations (transform rotate infinite 10-20s), mechanical tick/tock (step-end), steam/puff effects (scale + opacity), brass metallic gradients, clockwork transitions (8-12 steps)","Steampunk conventions, indie games, themed experiences, Victorian-themed sites, artisan portfolios, maker culture","Modern tech companies, corporate enterprise, healthcare, educational platforms, fast-paced apps",[v] Partial,[v] Full,~ Medium,[!] Color contrast issues,~ Medium,~ Low,"CSS 8/10, SVG 9/10",Victorian Era,High,"Design a steampunk interface with Victorian industrial aesthetic, brass/copper/rust color palette, gear and clockwork SVG motifs, mechanical animations (gear rotation, tick-tock), metallic gradients, vintage typography.","animation: gear-spin 15s linear infinite, transform: rotate, background: linear-gradient brass metallic, font-family: serif or display, border: double 4px #B5A642, filter: sepia(0.3)","[ ] Gear rotation animations, [ ] Metallic brass/copper gradients, [ ] Mechanical tick-tock feel, [ ] Victorian decorative motifs, [ ] Vintage serif typography, [ ] Sepia/warm overlay","--brass: #B5A642, --copper: #B87333, --rust: #8B4513, --gear-rotation: 15s linear infinite, --metallic-gradient: brass linear-gradient, --font-vintage: serif/display"
43,Gothic,General,"Dark romantic, ornate details, dark purple/black palette, Victorian gothic, cathedral, dark academia, eerie elegant","Deep Black #0D0D0D, Blood Red #8B0000, Royal Purple #4A0E4E, Silver #C0C0C0, Midnight #191970","Crimson #DC143C, Violet #8B00FF, Aged Parchment #F5DEB3, Iron #4A4A4A, Bone #E8DCC8","Ornate border animations (SVG filigree), candle flicker (box-shadow + opacity), fog/mist overlay (opacity pulse 8-12s), Gothic arch shapes (clip-path), dramatic fade-in (500-800ms)","Gothic fashion brands, dark academia, horror/occult content, literary sites, heavy metal music, Halloween-themed","Bright playful brands, healthcare, children's products, corporate enterprise, modern minimalist",[v] Full,[v] Full,[!] Moderate,[!] Contrast issues,[v] Low,~ Low,"Tailwind 6/10, Custom CSS 9/10",Victorian Era,High,"Design a gothic interface with dark romantic Victorian aesthetic, deep black and purple palette, ornate decorative borders and filigree, Gothic arch clip-paths, candle flicker and fog effects, dramatic slow transitions.","background: #0D0D0D, color: #C0C0C0, border-image: ornate SVG frame, clip-path: polygon for Gothic arch, animation: candle-flicker 3s ease infinite alternate, filter: drop-shadow dramatic","[ ] Dark purple/black palette, [ ] Ornate borders/filigree, [ ] Gothic arch shapes, [ ] Fog/mist overlay effect, [ ] Dramatic transitions 500-800ms, [ ] Decorative typography","--black-velvet: #0D0D0D, --blood-red: #8B0000, --royal-purple: #4A0E4E, --silver: #C0C0C0, --ornate-border: SVG filigree, --animation-dramatic: 600ms, --fog-duration: 10s"
44,Pastel Dream,General,"Soft pastels, gentle gradients, dreamy aesthetic, soft focus, ethereal, cotton candy, marshmallow, gentle, whimsical","Pastel Pink #FFB6C1, Pastel Blue #ADD8E6, Pastel Yellow #FFFACD, Pastel Purple #E6E6FA, Pastel Mint #B2F2BB","Soft Peach #FFDAB9, Lavender #E6D5F0, Baby Blue #B0E0E6, Light Coral #F0A0A0, Cream #FFFDD0","Soft focus blur (backdrop-filter blur 5-10px), gentle floating animations (translateY 3-4s ease-in-out infinite), subtle sparkle (opacity pulse), smooth gradient transitions (4-6s), dreamy chromatic effect","Beauty/fashion, lifestyle blogs, wellness, children's products, weddings, stationery, soft brands","Heavy industrial, tech/coding, financial, sports, data analytics, automotive, corporate",[v] Full,[v] Full,>>> Good,[!] Ensure 4.5:1,[v] High,~ Medium,"Tailwind 9/10, CSS-in-JS 8/10",2020s Modern,Low,"Design a dreamy pastel interface with soft pastel color palette (pink, blue, yellow, purple, mint), gentle floating animations (3-4s), soft focus blur effects, subtle sparkles, smooth gradient transitions, whimsical aesthetic.","background: linear-gradient(135deg, #FFB6C1, #ADD8E6, #E6E6FA), animation: float 3.5s ease-in-out infinite, backdrop-filter: blur(6px), border-radius: 20-30px, box-shadow: soft large shadow","[ ] Pastel color palette (4-6 colors), [ ] Floating/gentle animations, [ ] Soft focus blur applied, [ ] Smooth gradient transitions, [ ] Dreamy sparkle effects, [ ] Rounded corners 20-30px","--pastel-pink: #FFB6C1, --pastel-blue: #ADD8E6, --pastel-mint: #B2F2BB, --float-animation: 3.5s ease-in-out infinite, --blur-soft: 6px, --border-radius-dreamy: 24px"
45,Prehistoric / Dinosaur,General,"Earth tones, fossil textures, amber colors, rugged, dinosaur, Jurassic, primitive, cave art, natural history","Amber #FFBF00, Earth Brown #8B4513, Forest Green #228B22, Stone Grey #808080, Bone White #F5F5DC","Lava Red #FF4500, Volcano Black #1A1A1A, Moss #4A7C4A, Fossil #D2B48C, Mud #6B4E31","Fossil texture overlays (noise with sepia), amber glow (text-shadow + gradient), stomp animations (shake + scale), pterodactyl wing flap (SVG morph), cave painting reveal (clip-path wipe 2-3s)","Children's educational apps, museum exhibits, dinosaur games, natural history content, outdoor adventure brands","Modern tech companies, corporate finance, formal business, healthcare, luxury fashion",[v] Partial,[v] Full,~ Medium,[v] WCAG AA,[v] High,~ Low,"Tailwind 8/10, CSS 8/10, Three.js 7/10",Modern (Natural History),Medium,"Design a prehistoric/Dinosaur-themed interface with earth-tone palette (amber, brown, forest green, stone), fossil and rock texture overlays, rugged aesthetic, dinosaur silhouette motifs, amber glow effects, cave art-inspired elements.","background: #8B4513 with noise texture, color: #FFBF00 (amber), text-shadow: 0 0 10px #FFBF00, filter: sepia(0.2) contrast(1.1), clip-path: rugged shapes, border: stone-like 3px solid","[ ] Earth-tone color palette, [ ] Fossil/rock textures, [ ] Rugged uneven borders, [ ] Amber glow effects, [ ] Dinosaur motifs present, [ ] Natural history feel","--amber: #FFBF00, --earth-brown: #8B4513, --forest-green: #228B22, --stone-grey: #808080, --fossil-texture: noise overlay, --amber-glow: 0 0 10px #FFBF00"
