No,Font Pairing Name,Category,Heading Font,Body Font,Mood/Style Keywords,Best For,Google Fonts URL,CSS Import,Tailwind Config,Notes
60,EB Garamond + Inter,Serif-Sans,EB Garamond,Inter,"Classic, elegant, readable, editorial","Editorial, luxury brands, academic, premium content",https://fonts.google.com/share?selection.family=EB+Garamond:wght@400;500;600;700|Inter:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=EB+Garamond:wght@400;500;600;700&family=Inter:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['EB Garamond', 'serif'], sans: ['Inter', 'sans-serif'] }",CLASSIC Garamond serif + modern sans. Timeless elegance.
62,Cabinet Grotesk + Inter,Sans-Sans,Cabinet Grotesk,Inter,"Bold, modern, tech, geometric, clean","Tech brands, startups, developer tools, AI products",Not on Google Fonts (use Fontshare),@import url('https://api.fontshare.com/v2/css?f[]=cabinet-grotesk@400;500;600;700&f[]=inter@400;500;600;700&display=swap');,"fontFamily: { heading: ['Cabinet Grotesk', 'sans-serif'], sans: ['Inter', 'sans-serif'] }",Bold modern headings + clean body. Great for tech brands.
63,Bespoke Serif + Satoshi,Serif-Sans,Bespoke Serif,Satoshi,"Premium, editorial, sophisticated, luxury, clean","Luxury brands, editorial, premium content, fashion",Not on Google Fonts (use Fontshare),@import url('https://api.fontshare.com/v2/css?f[]=bespoke-serif@400;500;600;700&f[]=satoshi@400;500;600;700&display=swap');,"fontFamily: { heading: ['Bespoke Serif', 'serif'], sans: ['Satoshi', 'sans-serif'] }",Premium serif + clean sans. Luxury editorial feel.
64,Zodiak + Raleway,Serif-Sans,Zodiak,Raleway,"Artistic, serif, elegant, creative, sophisticated","Creative agencies, portfolios, editorial, artistic brands",Not on Google Fonts (use Fontshare),@import url('https://api.fontshare.com/v2/css?f[]=zodiak@400;500;600;700&f[]=raleway@400;500;600;700&display=swap');,"fontFamily: { heading: ['Zodiak', 'serif'], sans: ['Raleway', 'sans-serif'] }",Artistic serif headings + elegant sans. Creative flair.
65,Excon + Inter,Sans-Sans,Excon,Inter,"Futuristic, readable, modern, geometric, clean","AI products, tech platforms, futuristic brands, SaaS",Not on Google Fonts (use Fontshare),@import url('https://api.fontshare.com/v2/css?f[]=excon@400;500;600;700&f[]=inter@400;500;600;700&display=swap');,"fontFamily: { heading: ['Excon', 'sans-serif'], sans: ['Inter', 'sans-serif'] }",Futuristic headings + highly readable body. AI-ready.
66,Gambarino + Satoshi,Serif-Sans,Gambarino,Satoshi,"Display, serif, modern, editorial, bold","Editorial, magazines, creative agencies, premium brands",Not on Google Fonts (use Fontshare),@import url('https://api.fontshare.com/v2/css?f[]=gambarino@400;500;600;700&f[]=satoshi@400;500;600;700&display=swap');,"fontFamily: { heading: ['Gambarino', 'serif'], sans: ['Satoshi', 'sans-serif'] }",Display serif headings + modern sans. Editorial impact.
67,Telma + Switzer,Cursive-Sans,Telma,Switzer,"Bold, cursive, clean, modern, fashion-forward","Fashion, beauty, lifestyle, luxury brands",Not on Google Fonts (use Fontshare),@import url('https://api.fontshare.com/v2/css?f[]=telma@400;500;600;700&f[]=switzer@400;500;600;700&display=swap');,"fontFamily: { heading: ['Telma', 'cursive'], sans: ['Switzer', 'sans-serif'] }",Bold cursive headings + clean sans. Perfect for fashion.
68,Techor + DM Sans,Sans-Sans,Techor,DM Sans,"Neon, tech, geometric, futuristic, bold","Gaming, esports, tech brands, futuristic products",Not on Google Fonts (use Fontshare),@import url('https://api.fontshare.com/v2/css?f[]=techor@400;500;600;700&f[]=dm-sans@400;500;600;700&display=swap');,"fontFamily: { heading: ['Techor', 'sans-serif'], sans: ['DM Sans', 'sans-serif'] }",Neon-tech headings + geometric body. Gaming aesthetic.
69,SOFIA + Montserrat,Sans-Sans,SOFIA,Montserrat,"Rounded, professional, friendly, clean, modern","Wellness, health, lifestyle, professional services",https://fonts.google.com/share?selection.family=SOFIA:wght@400;500;600;700|Montserrat:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=SOFIA:wght@400;500;600;700|Montserrat:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['SOFIA', 'sans-serif'], sans: ['Montserrat', 'sans-serif'] }",Rounded headings + professional body. Great for wellness.
70,Nyght Serif + Instrument Sans,Serif-Sans,Nyght Serif,Instrument Sans,"Elegant, serif, clean, sophisticated, beauty","Beauty, wellness, luxury, lifestyle brands",Not on Google Fonts (use Fontshare),@import url('https://api.fontshare.com/v2/css?f[]=nyght-serif@400;500;600;700&f[]=instrument-sans@400;500;600;700&display=swap');,"fontFamily: { heading: ['Nyght Serif', 'serif'], sans: ['Instrument Sans', 'sans-serif'] }",Elegant serif headings + clean sans. Perfect for beauty.
71,Montserrat Alternates + Inter,Sans-Sans,Montserrat Alternates,Inter,"Playful, readable, friendly, approachable, clean","Education, children's apps, creative learning, casual",https://fonts.google.com/share?selection.family=Montserrat+Alternates:wght@400;500;600;700|Inter:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Montserrat+Alternates:wght@400;500;600;700&family=Inter:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Montserrat Alternates', 'sans-serif'], sans: ['Inter', 'sans-serif'] }",Playful rounded headings + clean body. Great for education.
72,Lora + Inter,Serif-Sans,Lora,Inter,"Classic, serif, modern, sans, readable, editorial","Blogs, editorial, content sites, personal blogs",https://fonts.google.com/share?selection.family=Lora:wght@400;500;600;700|Inter:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Lora:wght@400;500;600;700&family=Inter:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Lora', 'serif'], sans: ['Inter', 'sans-serif'] }",Classic serif headings + modern sans body. Perfect for blogs.
73,Fraunces + Work Sans,Serif-Sans,Fraunces,Work Sans,"Soft, serif, clean, editorial, modern","Editorial, lifestyle, fashion, premium content",https://fonts.google.com/share?selection.family=Fraunces:wght@400;500;600;700|Work+Sans:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Fraunces:wght@400;500;600;700&family=Work+Sans:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Fraunces', 'serif'], sans: ['Work Sans', 'sans-serif'] }",Soft serif headings + clean sans. Great for editorial.
74,Epilogue + Epilogue,Sans-Sans,Epilogue,Epilogue,"Modern, geometric, clean, minimal, versatile","Portfolios, creative agencies, modern brands, personal sites",https://fonts.google.com/share?selection.family=Epilogue:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Epilogue:wght@400;500;600;700&display=swap');,"fontFamily: { sans: ['Epilogue', 'sans-serif'] }",Modern geometric. Clean and minimal for portfolios.
75,Bebas Neue + Roboto,Sans-Sans,Bebas Neue,Roboto,"Bold, condensed, clean, impactful, sporty","Sports, fitness, headlines, action brands, automotive",https://fonts.google.com/share?selection.family=Bebas+Neue|Roboto:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Bebas+Neue&family=Roboto:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Bebas Neue', 'sans-serif'], sans: ['Roboto', 'sans-serif'] }",Bold condensed headings + clean body. Maximum sport impact.
76,Varela Round + Quicksand,Sans-Sans,Varela Round,Quicksand,"Rounded, friendly, playful, approachable, warm","Children's apps, education, games, casual, family",https://fonts.google.com/share?selection.family=Varela+Round|Quicksand:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Varela+Round&family=Quicksand:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Varela Round', 'sans-serif'], sans: ['Quicksand', 'sans-serif'] }",Rounded and friendly. Perfect for children's content.
77,Space Grotesk + Work Sans,Sans-Sans,Space Grotesk,Work Sans,"Techy, modern, geometric, contemporary","Tech startups, dev tools, agencies",https://fonts.google.com/share?selection.family=Space+Grotesk:wght@400;500;600;700|Work+Sans:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@400;500;600;700&family=Work+Sans:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Space Grotesk', 'sans-serif'], sans: ['Work Sans', 'sans-serif'] }",Quirky tech headings with a highly readable body.
78,Manrope + Source Sans 3,Sans-Sans,Manrope,Source Sans 3,"Clean, product-focused, semi-geometric","Product sites, fintech, B2B",https://fonts.google.com/share?selection.family=Manrope:wght@400;500;600;700|Source+Sans+3:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Manrope:wght@400;500;600;700&family=Source+Sans+3:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Manrope', 'sans-serif'], sans: ['Source Sans 3', 'sans-serif'] }",Manrope's tight apertures + neutral Source Sans body.
79,Urbanist + Nunito Sans,Sans-Sans,Urbanist,Nunito Sans,"Friendly, low-contrast, approachable","Consumer apps, wellness, education",https://fonts.google.com/share?selection.family=Urbanist:wght@400;500;600;700|Nunito+Sans:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Urbanist:wght@400;500;600;700&family=Nunito+Sans:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Urbanist', 'sans-serif'], sans: ['Nunito Sans', 'sans-serif'] }",Soft geometric headings with rounded humanist body.
80,Plus Jakarta Sans + IBM Plex Sans,Sans-Sans,Plus Jakarta Sans,IBM Plex Sans,"Startup, professional, contemporary","Startups, dashboards, enterprise",https://fonts.google.com/share?selection.family=Plus+Jakarta+Sans:wght@400;500;600;700|IBM+Plex+Sans:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@400;500;600;700&family=IBM+Plex+Sans:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Plus Jakarta Sans', 'sans-serif'], sans: ['IBM Plex Sans', 'sans-serif'] }",Distinctive Jakarta headings; engineered Plex body.
81,Lexend + Roboto,Sans-Sans,Lexend,Roboto,"Readable, accessible, calm","Accessibility-first products, edtech, reading apps",https://fonts.google.com/share?selection.family=Lexend:wght@400;500;600;700|Roboto:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Lexend:wght@400;500;600;700&family=Roboto:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Lexend', 'sans-serif'], sans: ['Roboto', 'sans-serif'] }",Lexend is designed to improve reading proficiency.
82,Unbounded + Inter,Display-Sans,Unbounded,Inter,"Bold, wide, futuristic, loud","Hero sections, crypto, events, streetwear",https://fonts.google.com/share?selection.family=Unbounded:wght@400;500;600;700|Inter:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Unbounded:wght@400;500;600;700&family=Inter:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Unbounded', 'sans-serif'], sans: ['Inter', 'sans-serif'] }",Very wide display face - use for short headlines only.
83,Syne + Inter,Display-Sans,Syne,Inter,"Artistic, avant-garde, gallery-like","Creative agencies, portfolios, exhibitions",https://fonts.google.com/share?selection.family=Syne:wght@400;500;600;700|Inter:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Syne:wght@400;500;600;700&family=Inter:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Syne', 'sans-serif'], sans: ['Inter', 'sans-serif'] }",Syne's unusual widths give instant art-direction.
84,Libre Baskerville + Open Sans,Serif-Sans,Libre Baskerville,Open Sans,"Traditional, trustworthy, readable","Law firms, insurance, long-form content",https://fonts.google.com/share?selection.family=Libre+Baskerville:wght@400;500;600;700|Open+Sans:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Libre+Baskerville:wght@400;500;600;700&family=Open+Sans:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Libre Baskerville', 'sans-serif'], sans: ['Open Sans', 'sans-serif'] }",Screen-optimized Baskerville with neutral Open Sans.
85,Lora + Karla,Serif-Sans,Lora,Karla,"Blog-friendly, warm, contemporary","Blogs, content platforms, personal sites",https://fonts.google.com/share?selection.family=Lora:wght@400;500;600;700|Karla:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Lora:wght@400;500;600;700&family=Karla:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Lora', 'sans-serif'], sans: ['Karla', 'sans-serif'] }",Brushed curves of Lora complement Karla's quirk.
86,Newsreader + Inter,Serif-Sans,Newsreader,Inter,"Journalistic, modern-news, clean","News sites, newsletters, magazines",https://fonts.google.com/share?selection.family=Newsreader:wght@400;500;600;700|Inter:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Newsreader:wght@400;500;600;700&family=Inter:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Newsreader', 'sans-serif'], sans: ['Inter', 'sans-serif'] }",Editorial serif designed for on-screen news reading.
87,Zilla Slab + Roboto,Slab-Sans,Zilla Slab,Roboto,"Mozilla-ish, honest, technical","Open-source projects, docs, dev brands",https://fonts.google.com/share?selection.family=Zilla+Slab:wght@400;500;600;700|Roboto:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Zilla+Slab:wght@400;500;600;700&family=Roboto:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Zilla Slab', 'sans-serif'], sans: ['Roboto', 'sans-serif'] }",Slab serifs feel engineered without being cold.
88,Roboto Slab + Open Sans,Slab-Sans,Roboto Slab,Open Sans,"Sturdy, utilitarian, friendly","Government, logistics, industrial",https://fonts.google.com/share?selection.family=Roboto+Slab:wght@400;500;600;700|Open+Sans:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Roboto+Slab:wght@400;500;600;700&family=Open+Sans:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Roboto Slab', 'sans-serif'], sans: ['Open Sans', 'sans-serif'] }",Dependable slab-and-sans workhorse pairing.
89,Spectral + Mulish,Serif-Sans,Spectral,Mulish,"Literary, screen-first, minimal","Reading apps, essays, digital books",https://fonts.google.com/share?selection.family=Spectral:wght@400;500;600;700|Mulish:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Spectral:wght@400;500;600;700&family=Mulish:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Spectral', 'sans-serif'], sans: ['Mulish', 'sans-serif'] }",Spectral is designed specifically for screen literature.
90,Crimson Pro + Nunito Sans,Serif-Sans,Crimson Pro,Nunito Sans,"Bookish, gentle, old-style","Publishing, courses, storytelling",https://fonts.google.com/share?selection.family=Crimson+Pro:wght@400;500;600;700|Nunito+Sans:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Crimson+Pro:wght@400;500;600;700&family=Nunito+Sans:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Crimson Pro', 'sans-serif'], sans: ['Nunito Sans', 'sans-serif'] }",Old-style garamond feel with soft rounded body.
91,Bodoni Moda + Raleway,Serif-Sans,Bodoni Moda,Raleway,"High-fashion, dramatic, luxury","Fashion editorials, cosmetics, galleries",https://fonts.google.com/share?selection.family=Bodoni+Moda:wght@400;500;600;700|Raleway:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Bodoni+Moda:wght@400;500;600;700&family=Raleway:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Bodoni Moda', 'sans-serif'], sans: ['Raleway', 'sans-serif'] }",Extreme thick-thin contrast = instant couture.
92,Abril Fatface + PT Sans,Display-Serif,Abril Fatface,PT Sans,"Magazine, poster, bold-editorial","Magazines, posters, sale banners",https://fonts.google.com/share?selection.family=Abril+Fatface:wght@400;500;600;700|PT+Sans:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Abril+Fatface:wght@400;500;600;700&family=PT+Sans:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Abril Fatface', 'sans-serif'], sans: ['PT Sans', 'sans-serif'] }",Fatface didone headlines demand simple body text.
93,Bebas Neue + Inter,Display-Sans,Bebas Neue,Inter,"Sporty, condensed, impactful","Sports, events, fitness, automotive",https://fonts.google.com/share?selection.family=Bebas+Neue:wght@400;500;600;700|Inter:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Bebas+Neue:wght@400;500;600;700&family=Inter:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Bebas Neue', 'sans-serif'], sans: ['Inter', 'sans-serif'] }",All-caps condensed headers; keep body quiet.
94,Anton + Roboto,Display-Sans,Anton,Roboto,"Impact, poster, heavy","Campaign pages, trailers, streetwear",https://fonts.google.com/share?selection.family=Anton:wght@400;500;600;700|Roboto:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Anton:wght@400;500;600;700&family=Roboto:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Anton', 'sans-serif'], sans: ['Roboto', 'sans-serif'] }",Single ultra-bold weight - maximum shout.
95,Teko + Barlow,Display-Sans,Teko,Barlow,"Technical, sporty, compact","Dashboards, esports, automotive UI",https://fonts.google.com/share?selection.family=Teko:wght@400;500;600;700|Barlow:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Teko:wght@400;500;600;700&family=Barlow:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Teko', 'sans-serif'], sans: ['Barlow', 'sans-serif'] }",Short x-height Teko pairs well with low-round Barlow.
96,Chakra Petch + Sarabun,Display-Sans,Chakra Petch,Sarabun,"Gaming, techy, angular","Gaming, esports, tech landing pages",https://fonts.google.com/share?selection.family=Chakra+Petch:wght@400;500;600;700|Sarabun:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Chakra+Petch:wght@400;500;600;700&family=Sarabun:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Chakra Petch', 'sans-serif'], sans: ['Sarabun', 'sans-serif'] }",Squared terminals give a HUD/interface feel.
97,Audiowide + Exo 2,Display-Sans,Audiowide,Exo 2,"Retro-futuristic, arcade, wide","Arcade games, music tech, gadgets",https://fonts.google.com/share?selection.family=Audiowide:wght@400;500;600;700|Exo+2:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Audiowide:wght@400;500;600;700&family=Exo+2:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Audiowide', 'sans-serif'], sans: ['Exo 2', 'sans-serif'] }",Wide techno letterforms + technical humanist body.
98,Michroma + Titillium Web,Display-Sans,Michroma,Titillium Web,"Aerospace, precise, wide","Aviation, robotics, engineering",https://fonts.google.com/share?selection.family=Michroma:wght@400;500;600;700|Titillium+Web:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Michroma:wght@400;500;600;700&family=Titillium+Web:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Michroma', 'sans-serif'], sans: ['Titillium Web', 'sans-serif'] }",NASA-worm vibes with an Italian tech sans.
99,Major Mono Display + Space Mono,Mono-Display,Major Mono Display,Space Mono,"Experimental, art-project, mono","Experimental portfolios, studios",https://fonts.google.com/share?selection.family=Major+Mono+Display:wght@400;500;600;700|Space+Mono:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Major+Mono+Display:wght@400;500;600;700&family=Space+Mono:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Major Mono Display', 'sans-serif'], sans: ['Space Mono', 'sans-serif'] }","Lowercase-only hybrid mono - very niche, very cool."
100,Fira Code + Fira Sans,Mono-Sans,Fira Code,Fira Sans,"Developer, ligatures, humanist","Coding tutorials, docs, devblogs",https://fonts.google.com/share?selection.family=Fira+Code:wght@400;500;600;700|Fira+Sans:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Fira+Code:wght@400;500;600;700&family=Fira+Sans:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Fira Code', 'sans-serif'], sans: ['Fira Sans', 'sans-serif'] }",Ligature-rich code font with its sibling text face.
101,Space Mono + Space Grotesk,Mono-Sans,Space Mono,Space Grotesk,"Techy-editorial, quirky, retro-tech","Tech magazines, zines, creative labs",https://fonts.google.com/share?selection.family=Space+Mono:wght@400;500;600;700|Space+Grotesk:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Space+Mono:wght@400;500;600;700&family=Space+Grotesk:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Space Mono', 'sans-serif'], sans: ['Space Grotesk', 'sans-serif'] }",Both from the same Space family - odd but harmonious.
102,Pacifico + Montserrat,Handwritten-Sans,Pacifico,Montserrat,"Playful, surf, retro-script","Food trucks, beach brands, fun logos",https://fonts.google.com/share?selection.family=Pacifico:wght@400;500;600;700|Montserrat:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Pacifico:wght@400;500;600;700&family=Montserrat:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Pacifico', 'sans-serif'], sans: ['Montserrat', 'sans-serif'] }",Thick brush script balanced by neutral geometry.
103,Righteous + Nunito,Display-Sans,Righteous,Nunito,"Fun, deco-ish, friendly","Event pages, games, youth brands",https://fonts.google.com/share?selection.family=Righteous:wght@400;500;600;700|Nunito:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Righteous:wght@400;500;600;700&family=Nunito:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Righteous', 'sans-serif'], sans: ['Nunito', 'sans-serif'] }",Art-deco flavored display with soft rounded body.
104,Fredoka + Quicksand,Handwritten-Sans,Fredoka,Quicksand,"Kids, rounded, cheerful","Kids products, toys, learning games",https://fonts.google.com/share?selection.family=Fredoka:wght@400;500;600;700|Quicksand:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Fredoka:wght@400;500;600;700&family=Quicksand:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Fredoka', 'sans-serif'], sans: ['Quicksand', 'sans-serif'] }",Maximum roundness - zero sharp corners anywhere.
